50000;0,0003548000;0,0004637333;
60000;0,0003958000;0,0006208000;
70000;0,0008435333;0,0008295333;
80000;0,0005355667;0,0008487000;
90000;0,0006210333;0,0019417000;
100000;0,0007326000;0,0010200333;
110000;0,0008207000;0,0011425333;
120000;0,0008384000;0,0011489000;
130000;0,0009138333;0,0012934667;
140000;0,0009805333;0,0014928667;
150000;0,0011461000;0,0017066333;
160000;0,0011360667;0,0021823333;
170000;0,0012439333;0,0023619667;
180000;0,0013049000;0,0019362000;
190000;0,0014859667;0,0021113667;
200000;0,0015602667;0,0023085000;
