
10000;Desc;0,0005210667;0,0000162333;0,0000148000;0,0281622333;
10000;Ascd;0,0004364333;0,0000071333;0,0000106667;0,0296089333;
10000;Rand;0,0005261333;0,0000079667;0,0000110333;0,0314185333;
10000;V-sh;0,0006257667;0,0000075333;0,0000112333;0,0289118333;
10000;Const;0,0000439333;0,0000072667;0,0000120000;0,0301674000;
15000;Desc;0,0011917333;0,0000187000;0,0000279667;0,0772829667;
15000;Ascd;0,0009005333;0,0000138000;0,0000229333;0,1132074000;
15000;Rand;0,0007174000;0,0000197667;0,0000305667;0,0943934333;
15000;V-sh;0,0011332000;0,0000177333;0,0000210000;0,0643818333;
15000;Const;0,0000936667;0,0000136000;0,0000233000;0,0659969667;
20000;Desc;0,0012302333;0,0000209000;0,0000430667;0,1083610000;
20000;Ascd;0,0008013000;0,0000159000;0,0000221667;0,1055376000;
20000;Rand;0,0008844333;0,0000152000;0,0000230333;0,1005797667;
20000;V-sh;0,0007916333;0,0000153667;0,0000219667;0,1010984000;
20000;Const;0,0001112000;0,0000692333;0,0000259667;0,1018055000;
25000;Desc;0,0010126333;0,0000211667;0,0000400667;0,1626920333;
25000;Ascd;0,0010513333;0,0000196667;0,0000319333;0,1744185000;
25000;Rand;0,0010751000;0,0000249000;0,0000276000;0,1634043333;
25000;V-sh;0,0010170333;0,0000350667;0,0000276000;0,1787636000;
25000;Const;0,0001051667;0,0000179333;0,0000269000;0,2015568333;
30000;Desc;0,0019496333;0,0000226667;0,0000333000;0,2372759333;
30000;Ascd;0,0013428667;0,0000352667;0,0000446667;0,2351190333;
30000;Rand;0,0012630667;0,0000347000;0,0000557333;0,2673755000;
30000;V-sh;0,0013122667;0,0000228667;0,0000402333;0,2630331000;
30000;Const;0,0002524000;0,0000259333;0,0000382333;0,3560613667;
35000;Desc;0,0018421000;0,0000269000;0,0000432333;0,3511267667;
35000;Ascd;0,0019809333;0,0000287000;0,0000530667;0,3588429667;
35000;Rand;0,0014627333;0,0000370667;0,0005091667;0,4055307000;
35000;V-sh;0,0018532333;0,0000301333;0,0000926333;0,3465304333;
35000;Const;0,0001483333;0,0000252667;0,0000377667;0,3459453667;
40000;Desc;0,0016642000;0,0000313000;0,0000433000;0,6697867667;
40000;Ascd;0,0020911000;0,0000344667;0,0000485000;0,4628482000;
40000;Rand;0,0018031000;0,0000307667;0,0000769667;0,4868958000;
40000;V-sh;0,0018724333;0,0000306333;0,0000617333;0,4561229333;
40000;Const;0,0002998000;0,0000300333;0,0000441000;0,4663392667;
45000;Desc;0,0021591000;0,0000364667;0,0000521333;0,6422923000;
45000;Ascd;0,0020092667;0,0000390667;0,0000574333;0,6309794000;
45000;Rand;0,0021175667;0,0000626333;0,0000523667;0,6084810000;
45000;V-sh;0,0021071667;0,0000411333;0,0000515667;0,6559337000;
45000;Const;0,0002110333;0,0000353333;0,0000524667;0,5872197667;
50000;Desc;0,0023715667;0,0000416333;0,0000586333;0,7789067333;
50000;Ascd;0,0024859000;0,0000459000;0,0000855333;0,8672541000;
50000;Rand;0,0055146667;0,0000847667;0,0000567000;0,8687995667;
50000;V-sh;0,0024850333;0,0000401000;0,0002313667;0,7666633667;
50000;Const;0,0002578667;0,0000377000;0,0000590333;0,7827865000;
55000;Desc;0,0023389000;0,0000469333;0,0000579667;0,9334974000;
55000;Ascd;0,0024818667;0,0000435333;0,0000591333;0,9239699333;
55000;Rand;0,0024147333;0,0000422333;0,0000597000;0,9129569000;
55000;V-sh;0,0022961667;0,0000413000;0,0000684333;0,8274419000;
55000;Const;0,0002524667;0,0000428667;0,0000645667;0,8378058000;
60000;Desc;0,0025590667;0,0000715333;0,0000688000;0,9815969000;
60000;Ascd;0,0025038000;0,0000420333;0,0000694000;0,9592707667;
60000;Rand;0,0025616000;0,0000529000;0,0000658667;0,9920746667;
60000;V-sh;0,0024495667;0,0000489667;0,0000799333;1,0293955667;
60000;Const;0,0002509000;0,0000430000;0,0000645333;0,9750459667;
65000;Desc;0,0028500333;0,0000503667;0,0000708000;1,3807059000;
65000;Ascd;0,0038978333;0,0000647667;0,0000714000;1,3635606667;
65000;Rand;0,0034302000;0,0000680667;0,0000725667;1,3258609000;
65000;V-sh;0,0030374000;0,0000607000;0,0000741000;1,2379121000;
65000;Const;0,0002997333;0,0000490667;0,0001137000;1,3811793000;
70000;Desc;0,0032008667;0,0000531000;0,0000772667;1,5135842667;
70000;Ascd;0,0029085000;0,0000520667;0,0000754000;1,2485401667;
70000;Rand;0,0028997333;0,0000525000;0,0000747333;1,2407887000;
70000;V-sh;0,0029859333;0,0000631333;0,0000753000;1,2226137667;
70000;Const;0,0003292333;0,0000543333;0,0000810667;1,2340767667;
75000;Desc;0,0030864667;0,0000547000;0,0000790333;1,3614929000;
75000;Ascd;0,0031049000;0,0000528000;0,0000790667;1,3686198667;
75000;Rand;0,0031951333;0,0000536000;0,0000792000;1,3656950000;
75000;V-sh;0,0030335333;0,0000548667;0,0000828000;1,3749046667;
75000;Const;0,0003012667;0,0000514000;0,0000931000;1,3596796667;
80000;Desc;0,0034041333;0,0000584000;0,0000843333;1,5604721000;
80000;Ascd;0,0032561333;0,0000562333;0,0000844333;1,5541792333;
80000;Rand;0,0033904000;0,0000583000;0,0000864667;1,6042800000;
80000;V-sh;0,0033818333;0,0000583667;0,0000882333;1,5948134667;
80000;Const;0,0003909000;0,0000672667;0,0000842000;1,6078435333;
85000;Desc;0,0040085333;0,0000647667;0,0000917667;1,8070089667;
85000;Ascd;0,0036831667;0,0000614333;0,0000919667;1,7966365333;
85000;Rand;0,0035652000;0,0000635000;0,0000919333;1,8453438000;
85000;V-sh;0,0037027333;0,0000638000;0,0000995000;1,8209121000;
85000;Const;0,0003591667;0,0000614333;0,0000919667;1,8019314667;
